component_id,component_name,radius_m,terrain_cells,elevation_median_m,elevation_p10_m,elevation_p90_m,slope_median_deg,slope_p90_deg,tri_median_m,tpi500_median_m,flow_accumulation_p90_cells,twi_proxy_p90,drainage_distance_median_m
139-013,Mohra Moradu stupa and monastery,1000,3961,578.0,525.0,647.0,9.971423149108887,23.804553985595703,4.5,-2.0596923828125,11.0,7.962604522705078,257.1202392578125
139-014,Pippala stupa and monastery,250,250,545.5,536.0,567.199951171875,5.13391637802124,18.27747917175293,2.1505813598632812,-8.711212158203125,11.0,8.324967384338379,546.7130126953125
139-014,Pippala stupa and monastery,500,990,546.0,535.0,585.0999755859375,5.241248607635498,15.444497108459473,2.2776083946228027,-5.6749267578125,9.0,8.249528884887695,502.3909912109375
139-014,Pippala stupa and monastery,1000,3952,546.0,524.0,613.0,5.975918769836426,20.553998947143555,2.709935426712036,-4.545928955078125,10.0,8.209626197814941,392.1021728515625
139-015,Jaulian stupa and monastery,250,246,566.5,545.5,589.0,10.981178283691406,21.193641662597656,4.675393581390381,-12.771820068359375,14.0,8.525239944458008,132.9666748046875
139-015,Jaulian stupa and monastery,500,991,570.0,544.0,619.0,10.61852741241455,22.06717872619629,4.613160610198975,-8.427001953125,11.0,8.078953742980957,145.58126831054688
139-015,Jaulian stupa and monastery,1000,3959,580.0,540.0,666.0,11.052664756774902,23.8735294342041,4.84768009185791,-5.47381591796875,11.0,8.074536323547363,214.70614624023438
139-016,Lalchak mounds,250,246,509.0,506.0,512.0,2.413038730621338,4.7610650062561035,1.1004202365875244,-0.91046142578125,6.5,8.55288028717041,1354.6435546875
139-016,Lalchak mounds,500,995,509.0,506.0,513.0,2.227874279022217,4.342517852783203,1.0307763814926147,-0.663909912109375,5.0,8.55288028717041,1376.990478515625
139-016,Lalchak mounds,1000,3962,511.0,505.0,517.0,2.227874279022217,4.544013023376465,1.0307763814926147,-0.468780517578125,6.0,8.55288028717041,1463.0853271484375
139-017,Buddhist remains around Bhallar stupa,250,247,493.0,486.0,514.0,5.975918769836426,15.201643943786621,2.910111665725708,0.75390625,8.0,8.273488998413086,335.5842590332031
139-017,Buddhist remains around Bhallar stupa,500,990,489.0,484.0,519.0,2.996107578277588,15.247737884521484,1.334634780883789,-1.665283203125,9.0,8.55288028717041,335.8097229003906
139-017,Buddhist remains around Bhallar stupa,1000,3958,487.0,481.0,565.0,3.5618276596069336,16.782211303710938,1.4737282991409302,-1.0436248779296875,9.0,8.474857330322266,441.9952087402344
139-018,Giri Mosque and tombs,250,246,622.0,602.0,649.0,14.211698532104492,23.42259979248047,5.8470072746276855,-35.249755859375,20.0,8.186284065246582,126.12709045410156
139-018,Giri Mosque and tombs,500,993,640.0,604.0,730.0,15.375178337097168,29.54370880126953,6.39579963684082,-12.73187255859375,16.0,7.841890335083008,179.8971710205078
139-018,Giri Mosque and tombs,1000,3959,645.0,587.0,863.0,15.86617374420166,31.726200103759766,6.864765167236328,-7.82550048828125,18.0,7.842559814453125,179.8971710205078
