row,col,proxy_class,spatial_block,partition,blue,green,red,nir08,swir16,swir22,NDVI,NDBI,MNDWI,BSI
456,381,4,65,development,0.044117495,0.07403751,0.071315005,0.28311998,0.21401249,0.13208999,0.59758484,-0.13901222,-0.4859399,-0.06841722
452,519,4,67,development,0.01781375,0.036843747,0.027067497,0.19620624,0.09174751,0.046235003,0.7575398,-0.3627622,-0.42696342,-0.28604257
157,425,5,26,development,0.08786999,0.12587501,0.16426499,0.3319875,0.3573975,0.25111002,0.33797818,0.036858935,-0.47907233,0.10812832
70,290,1,14,development,0.0926,0.140175,0.167565,0.24585749,0.2530625,0.21574499,0.18937646,0.014441183,-0.28707206,0.108248726
343,247,3,53,outer_proxy_test,0.050084993,0.08154501,0.09128,0.2235,0.1944875,0.14655499,0.4200394,-0.069409974,-0.4091637,0.021779653
216,585,6,38,development,0.0408725,0.06545751,0.032154992,0.024922505,0.015599996,0.010539994,-0.12671345,-0.2300576,0.61508816,-0.1588729
515,95,2,71,development,0.081957504,0.11685501,0.15414499,0.20194001,0.23529749,0.22528751,0.13422364,0.07629142,-0.3363386,0.15674838
256,395,2,35,outer_proxy_test,0.086495,0.13319,0.16001624,0.20426375,0.25992376,0.24307999,0.12146566,0.11990846,-0.32238442,0.18176657
617,149,2,92,development,0.1256,0.18240125,0.22546625,0.30190253,0.3626775,0.33398128,0.14493896,0.0914487,-0.33073434,0.15816654
462,513,4,67,development,0.0363625,0.06669499,0.05583249,0.30118752,0.1846975,0.10373749,0.6872304,-0.23974812,-0.46939552,-0.1678315
648,366,3,95,development,0.048985004,0.07906999,0.09787999,0.26345748,0.20532249,0.14509751,0.45823503,-0.12401338,-0.44393757,-0.0150086535
390,51,1,50,development,0.045299992,0.07709001,0.07667749,0.2088425,0.16509001,0.12098001,0.46289235,-0.117006384,-0.36336607,-0.02495412
590,325,4,84,development,0.028167501,0.052339986,0.047307506,0.23466499,0.1382225,0.07915251,0.664453,-0.25863698,-0.45067903,-0.17241068
464,359,3,65,development,0.05295874,0.08767751,0.100918755,0.2323,0.222675,0.16155624,0.39427927,-0.021155015,-0.43498114,0.062962696
122,189,3,12,development,0.068344995,0.095845,0.11009,0.2303475,0.2418425,0.1825525,0.35324398,0.024344003,-0.43234497,0.08182901
608,3,2,90,development,0.1150675,0.1916825,0.2396975,0.30905253,0.415725,0.33451754,0.12638728,0.1471796,-0.36885038,0.21425974
463,456,4,66,development,0.0134550035,0.031192496,0.02132,0.20367251,0.08154501,0.03638999,0.81048256,-0.42819074,-0.44663498,-0.35707864
303,245,1,43,development,0.1037925,0.14988251,0.1744125,0.23422499,0.27905,0.26986498,0.14637053,0.08733136,-0.3011371,0.14585964
522,92,2,71,development,0.0628725,0.097605005,0.11099751,0.20647751,0.22186375,0.16715251,0.30074805,0.035920516,-0.3889543,0.105463415
30,560,5,8,development,0.04288,0.07180999,0.07423,0.290545,0.20565249,0.1265075,0.59300935,-0.17108612,-0.48238054,-0.087301224
83,420,5,16,development,0.046867505,0.069032505,0.0815175,0.16077249,0.15508,0.11569999,0.32710797,-0.018022597,-0.3839478,0.065184765
46,382,3,5,development,0.054196253,0.0898225,0.10254125,0.225535,0.22142375,0.1552175,0.3748938,-0.009198299,-0.42282033,0.07327151
310,174,1,42,outer_proxy_test,0.0758525,0.112014994,0.12521501,0.21527751,0.22449,0.1908025,0.26450655,0.020948555,-0.3342447,0.091404185
