radius_m,w_lower,w_upper,component_id,component_name,rank,top3
500,0.5714285714285703,0.5882352941176465,139-012,Lalchak / Badalpur,15,False
500,0.5714285714285703,0.5882352941176465,139-013,Mohra Moradu,5,False
500,0.5714285714285703,0.5882352941176465,139-014,Pippala,11,False
500,0.5714285714285703,0.5882352941176465,139-015,Jaulian,2,True
500,0.5714285714285703,0.5882352941176465,139-016,Lalchak mounds,13,False
500,0.5714285714285703,0.5882352941176465,139-017,Bhallar,12,False
500,0.5714285714285703,0.5882352941176465,139-018,Giri Mosque / tombs,3,True
500,0.5882352941176465,0.6122448979591835,139-001,Khanpur Cave,14,False
500,0.5882352941176465,0.6122448979591835,139-003,Bhir Mound,16,False
500,0.5882352941176465,0.6122448979591835,139-004,Sirkap,10,False
500,0.5882352941176465,0.6122448979591835,139-005,Sirsukh,8,False
500,0.5882352941176465,0.6122448979591835,139-006,Dharmarajika,4,False
500,0.5882352941176465,0.6122448979591835,139-007,Khader Mohra,6,False
500,0.5882352941176465,0.6122448979591835,139-008,Kalawan,7,False
500,0.5882352941176465,0.6122448979591835,139-009,Giri complex,1,True
500,0.5882352941176465,0.6122448979591835,139-010,Kunala,9,False
500,0.5882352941176465,0.6122448979591835,139-011,Jandial,17,False
500,0.5882352941176465,0.6122448979591835,139-012,Lalchak / Badalpur,15,False
500,0.5882352941176465,0.6122448979591835,139-013,Mohra Moradu,5,False
500,0.5882352941176465,0.6122448979591835,139-014,Pippala,11,False
500,0.5882352941176465,0.6122448979591835,139-015,Jaulian,2,True
500,0.5882352941176465,0.6122448979591835,139-016,Lalchak mounds,13,False
500,0.5882352941176465,0.6122448979591835,139-017,Bhallar,12,False
500,0.5882352941176465,0.6122448979591835,139-018,Giri Mosque / tombs,3,True
500,0.6122448979591835,0.6145251396648048,139-001,Khanpur Cave,14,False
500,0.6122448979591835,0.6145251396648048,139-003,Bhir Mound,16,False
500,0.6122448979591835,0.6145251396648048,139-004,Sirkap,10,False
500,0.6122448979591835,0.6145251396648048,139-005,Sirsukh,8,False
500,0.6122448979591835,0.6145251396648048,139-006,Dharmarajika,4,False
500,0.6122448979591835,0.6145251396648048,139-007,Khader Mohra,7,False
500,0.6122448979591835,0.6145251396648048,139-008,Kalawan,6,False
500,0.6122448979591835,0.6145251396648048,139-009,Giri complex,1,True
500,0.6122448979591835,0.6145251396648048,139-010,Kunala,9,False
500,0.6122448979591835,0.6145251396648048,139-011,Jandial,17,False
500,0.6122448979591835,0.6145251396648048,139-012,Lalchak / Badalpur,15,False
