period,metric,n,effective_n_lag1,theil_sen_slope_per_year,theil_sen_intercept,scipy_slope_ci_low_95,scipy_slope_ci_high_95,moving_block_slope_ci_low_95,moving_block_slope_ci_high_95,kendall_tau,kendall_p_unadjusted,moving_block_p_two_sided,bootstrap_draws,block_length_years,status,fdr_adjusted_block_p
MAM,temperature_mean_c,35,21.973797766313876,0.04626577840112214,-71.94543302945327,-0.009556159420289903,0.10341614906832268,-0.013990978834017051,0.10950413420787856,0.21344537815126052,0.071296880302187,0.1469265367316342,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.2711144427786107
MAM,rx1day_mm,35,34.540650498132784,-0.7421052631578948,1532.5973684210528,-1.125,-0.15833333333333352,-1.036636650219299,-0.4564802631578792,-0.29411764705882354,0.012946026127481549,0.0004997501249375312,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.0069965017491254375
MAM,consecutive_dry_days,35,33.27780792454062,0.0,15.0,-0.19230769230769232,0.19230769230769232,-0.21052631578947367,0.23076923076923078,0.010394383930128556,0.9317491016633772,1.0,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,1.0
Monsoon,precipitation_sum_mm,35,25.304916962155826,-2.512962962962964,5430.929629629632,-7.552777777777783,1.9366666666666636,-7.132048611111079,2.0571207264956923,-0.146218487394958,0.21663533120013578,0.27936031984008,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.391104447776112
Monsoon,temperature_mean_c,35,57.004685525091524,0.048333333333332715,-69.71202898550601,0.030117753623188175,0.06532414596273295,0.03450148607337188,0.06403728864734226,0.5092436974789916,1.684750517899537e-05,0.0004997501249375312,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.0069965017491254375
Monsoon,rx1day_mm,35,18.63156993725513,-0.402272727272727,859.4136363636358,-1.8464285714285713,0.6750000000000002,-1.7418863636363608,0.9623588191699628,-0.10428935563996505,0.3785464928054352,0.42528735632183906,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.4947926036981509
Monsoon,consecutive_dry_days,35,46.746631677894406,-0.029411764705882353,69.05882352941177,-0.13333333333333333,0.06666666666666667,-0.10947853279242721,0.055364985360659896,-0.09324326491421518,0.447679418861731,0.3553223388305847,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.43256632553288576
Post-monsoon,precipitation_sum_mm,35,53.60364255477845,-0.277272727272727,612.4136363636358,-1.9142857142857144,1.2454545454545456,-1.430774286987522,0.8196256684491944,-0.052100840336134456,0.6597601099821482,0.47876061969015493,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.5027116071593832
Post-monsoon,temperature_mean_c,35,20.878496240207685,0.04174982181040638,-65.80659301496814,0.008360655737705258,0.08169398907103798,0.005695422012352754,0.07959221636112257,0.2672268907563025,0.02394393278804346,0.02848575712143928,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.08862235548892221
Post-monsoon,rx1day_mm,35,51.95009534570733,-0.10500000000000007,229.89000000000016,-0.7645833333333334,0.39285714285714285,-0.5956568627450974,0.31899999999999984,-0.0571909369638518,0.6291685967356248,0.4847576211894053,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.5027116071593832
Post-monsoon,consecutive_dry_days,35,68.6327677596364,-0.22580645161290322,479.41935483870964,-0.6,0.125,-0.4193548387096696,-0.036851958525344654,-0.13346892840744912,0.2667449132751485,0.0239880059970015,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.08395802098950525
