season_year,season,complete_period,valid_days,missing_weather_values,precipitation_sum_mm,precipitation_mean_mm_day,rx1day_mm,rx5day_mm,wet_days_ge1mm,heavy_precipitation_days,consecutive_wet_days,consecutive_dry_days,temperature_mean_c,tmax_mean_c,tmin_mean_c,annual_or_period_max_tmax_c,hot_days,heatwave_max_days,relative_humidity_mean_percent,dew_point_mean_c,soil_moisture_mean_m3m3,et0_sum_mm
1993,Post-monsoon,True,61,0,117.9,1.9327868852459018,32.75,87.55,10,1,4,27,17.585245901639347,24.65368852459016,11.276229508196723,31.75,0,0,60.0655737704918,8.720081967213115,0.24425000000000002,187.27500000000003
1994,DJF,True,90,0,144.25,1.6027777777777779,23.549999999999997,50.8,16,0,3,31,9.876944444444442,16.283888888888892,4.160833333333334,20.875,0,0,68.98055555555555,3.8380555555555556,0.2961361111111111,173.73
1994,MAM,True,92,0,283.95000000000005,3.0864130434782613,53.95,110.50000000000001,31,2,3,9,19.797554347826086,26.08016304347826,13.086141304347828,37.8,1,1,62.89402173913044,11.530978260869567,0.31220380434782613,410.18
1994,Monsoon,True,92,0,621.1500000000001,6.7516304347826095,149.0,175.45,57,4,10,13,25.68288043478261,29.647010869565214,22.030434782608694,33.25,0,0,79.61413043478261,21.55108695652174,0.37083967391304345,337.53999999999996
1994,Post-monsoon,True,61,0,49.9,0.8180327868852458,27.0,43.8,3,0,2,35,16.873770491803278,23.754508196721314,10.822540983606556,29.4,0,0,63.22950819672131,8.978278688524592,0.21822950819672127,178.9425
1995,DJF,True,90,0,246.75,2.7416666666666667,50.3,73.3,23,1,5,25,8.874166666666667,15.035833333333334,3.131666666666667,20.425,0,0,70.26666666666667,3.1397222222222223,0.34021111111111113,162.3525
1995,MAM,True,92,0,362.8999999999999,3.9445652173913035,51.650000000000006,142.0,35,4,6,15,19.169565217391302,25.208695652173912,12.837771739130435,37.35,0,0,64.41032608695652,11.367663043478261,0.32740489130434786,400.97999999999996
1995,Monsoon,True,92,0,604.5,6.570652173913044,76.85,145.25,57,4,15,14,26.03858695652174,30.108423913043477,22.29538043478261,37.9,1,1,79.21195652173913,21.823641304347827,0.3520434782608696,355.4749999999999
1995,Post-monsoon,True,61,0,86.55000000000001,1.4188524590163936,39.7,58.300000000000004,8,1,3,37,17.461065573770487,24.159836065573767,11.501229508196722,30.6,0,0,62.34426229508197,9.339754098360654,0.1988483606557377,182.39249999999998
1996,DJF,True,91,0,219.75000000000003,2.414835164835165,44.7,65.5,20,2,3,21,9.046978021978022,15.440659340659343,3.322252747252748,20.175,0,0,68.72527472527473,2.969505494505494,0.33503296703296703,173.63
1996,MAM,True,92,0,407.15,4.425543478260869,52.45,142.9,40,1,8,9,20.049184782608698,26.123641304347824,13.70679347826087,35.95,0,0,63.1875,11.789402173913041,0.31818750000000007,418.61250000000007
1996,Monsoon,True,92,0,406.40000000000003,4.417391304347826,52.85,90.10000000000001,48,2,28,15,26.30570652173913,30.460597826086957,22.240760869565214,35.05,0,0,77.8695652173913,21.80217391304348,0.3400298913043478,380.8775
1996,Post-monsoon,True,61,0,120.30000000000001,1.9721311475409837,37.849999999999994,53.349999999999994,9,1,3,24,16.093032786885246,23.00532786885246,10.184426229508198,30.525,0,0,65.72540983606558,8.978278688524588,0.30086065573770493,172.0275
1997,DJF,True,90,0,73.35,0.815,21.45,31.2,13,0,3,23,8.881666666666666,16.06972222222222,2.465277777777778,21.425,0,0,64.76388888888889,1.79,0.2598250000000001,187.52
1997,MAM,True,92,0,467.5999999999999,5.082608695652173,59.150000000000006,108.2,44,5,9,11,18.73070652173913,24.44483695652174,12.672554347826088,34.55,0,0,67.53804347826087,11.781521739130437,0.33753260869565216,374.73
1997,Monsoon,True,92,0,472.85,5.139673913043478,132.1,190.1,46,3,8,9,26.73233695652174,30.832065217391307,22.653260869565216,38.825,3,3,76.38315217391305,21.783967391304348,0.3292065217391304,373.6
1997,Post-monsoon,True,61,0,87.55,1.4352459016393442,22.450000000000003,46.25,12,0,2,16,16.124999999999996,21.77008196721311,10.989754098360654,27.35,0,0,70.5327868852459,10.147540983606559,0.2801844262295082,153.0
1998,DJF,True,90,0,289.25,3.213888888888889,34.75,139.4,24,2,5,12,9.261944444444444,15.102777777777776,3.891111111111111,20.975,0,0,72.06666666666666,3.9813888888888886,0.3403694444444444,158.10500000000002
1998,MAM,True,92,0,367.0,3.989130434782609,55.1,75.65,30,3,4,15,20.12690217391304,26.24157608695652,13.536956521739132,39.224999999999994,4,4,63.76358695652174,11.936684782608692,0.3225543478260869,420.195
1998,Monsoon,True,92,0,410.7,4.464130434782609,31.45,95.5,59,0,10,7,26.661684782608692,30.670380434782604,22.87663043478261,34.35,0,0,80.13858695652173,22.688315217391303,0.36569565217391303,368.4825
1998,Post-monsoon,True,61,0,9.2,0.15081967213114753,4.75,4.85,2,0,1,45,18.69467213114754,25.625409836065575,12.5672131147541,30.85,0,0,60.41393442622951,9.987295081967213,0.16632377049180327,189.87249999999997
1999,DJF,True,90,0,208.75000000000003,2.3194444444444446,32.45,70.9,23,0,6,33,10.9275,17.074722222222224,5.587777777777778,22.95,0,0,71.50277777777778,5.407777777777778,0.2940055555555556,171.555
1999,MAM,True,92,0,169.25,1.8396739130434783,49.7,100.85000000000001,21,1,5,19,22.050815217391307,28.810869565217384,14.757336956521739,37.95,4,3,50.89945652173913,9.488043478260868,0.24382880434782617,493.51750000000004
