epoch_id,label_year,item_id,platform,acquisition_datetime_utc,acquisition_date,weather_provider,precipitation_preceding_7d_mm,temperature_mean_preceding_7d_c,tmax_max_preceding_7d_c,data_completeness_preceding_7d,precipitation_preceding_30d_mm,temperature_mean_preceding_30d_c,tmax_max_preceding_30d_c,data_completeness_preceding_30d,precipitation_preceding_90d_mm,temperature_mean_preceding_90d_c,tmax_max_preceding_90d_c,data_completeness_preceding_90d,precipitation_preceding_180d_mm,temperature_mean_preceding_180d_c,tmax_max_preceding_180d_c,data_completeness_preceding_180d,precipitation_preceding_365d_mm,temperature_mean_preceding_365d_c,tmax_max_preceding_365d_c,data_completeness_preceding_365d,humidity_mean_preceding_7d_percent,soil_moisture_mean_preceding_7d_m3m3
E2009,2009,LE07_L2SP_150037_20081010_02_T1,landsat-7,2008-10-10T05:30:57.642641Z,2008-10-10,Open-Meteo ERA5-Seamless,12.6,24.935714285714283,34.1,1.0,24.85,25.830833333333338,34.225,1.0,251.1,26.63388888888889,34.4,1.0,599.8500000000001,26.842916666666667,39.1,1.0,894.6,20.379931506849314,39.1,1.0,62.285714285714285,0.20264285714285712
E2009,2009,LE07_L2SP_150037_20081010_02_T1,landsat-7,2008-10-10T05:30:57.642641Z,2008-10-10,NASA POWER,10.1,26.84142857142857,35.13,1.0,26.110000000000003,26.88866666666667,36.02,1.0,359.96,27.970444444444446,36.02,1.0,739.8399999999999,29.073888888888884,42.28,1.0,973.52,22.258821917808216,42.28,1.0,55.10428571428571,
E2009,2009,LE07_L2SP_150037_20081026_02_T1,landsat-7,2008-10-26T05:31:14.238468Z,2008-10-26,Open-Meteo ERA5-Seamless,0.35,20.925,28.724999999999998,1.0,24.6,23.65666666666667,34.225,1.0,182.6,25.603055555555553,34.4,1.0,591.05,26.84222222222222,39.1,1.0,906.2,20.38267123287671,39.1,1.0,54.464285714285715,0.17942857142857144
E2009,2009,LE07_L2SP_150037_20081026_02_T1,landsat-7,2008-10-26T05:31:14.238468Z,2008-10-26,NASA POWER,0.0,22.562857142857144,31.01,1.0,27.410000000000004,25.073333333333338,36.02,1.0,267.68,26.862888888888886,36.02,1.0,739.81,28.979055555555554,42.28,1.0,990.7,22.32969863013699,42.28,1.0,42.978571428571435,
E2009,2009,LE07_L2SP_150037_20081127_02_T1,landsat-7,2008-11-27T05:31:40.993479Z,2008-11-27,Open-Meteo ERA5-Seamless,0.0,13.307142857142859,22.3,1.0,26.25,16.630000000000003,27.95,1.0,104.6,21.863055555555558,34.4,1.0,586.4,24.976805555555554,39.1,1.0,932.4499999999999,20.30232876712329,39.1,1.0,62.964285714285715,0.2216785714285714
E2009,2009,LE07_L2SP_150037_20081127_02_T1,landsat-7,2008-11-27T05:31:40.993479Z,2008-11-27,NASA POWER,1.17,15.364285714285714,26.17,1.0,21.35,18.814,30.69,1.0,122.68,23.468555555555557,36.02,1.0,741.31,26.937166666666663,42.28,1.0,1012.0500000000001,22.333917808219176,42.28,1.0,39.382857142857155,
E2009,2009,LE07_L2SP_150037_20081213_02_T1,landsat-7,2008-12-13T05:31:51.060956Z,2008-12-13,Open-Meteo ERA5-Seamless,23.55,12.721428571428572,22.1,1.0,31.900000000000002,13.702499999999997,23.725,1.0,86.3,19.697222222222223,34.225,1.0,566.8,23.486527777777777,36.1,1.0,939.2,20.395,39.1,1.0,71.14285714285714,0.27382142857142855
E2009,2009,LE07_L2SP_150037_20081213_02_T1,landsat-7,2008-12-13T05:31:51.060956Z,2008-12-13,NASA POWER,18.799999999999997,15.025714285714287,27.18,1.0,39.10000000000001,15.990333333333336,27.47,1.0,83.57,21.479333333333333,36.02,1.0,687.36,25.396944444444443,40.43,1.0,1014.0999999999999,22.47186301369863,42.28,1.0,49.131428571428565,
E2009,2009,LE07_L2SP_150037_20091013_02_T1,landsat-7,2009-10-13T05:32:28.709317Z,2009-10-13,Open-Meteo ERA5-Seamless,0.95,23.092857142857145,31.15,1.0,11.199999999999998,26.618333333333336,36.975,1.0,239.1,27.634444444444437,38.875,1.0,295.9,27.674305555555556,42.725,1.0,784.25,20.98109589041096,42.725,1.0,45.82142857142857,0.15957142857142861
E2009,2009,LE07_L2SP_150037_20091013_02_T1,landsat-7,2009-10-13T05:32:28.709317Z,2009-10-13,NASA POWER,0.11,24.937142857142856,33.27,1.0,21.29,27.976666666666667,37.93,1.0,304.06,29.804444444444446,43.15,1.0,393.67999999999995,30.265222222222228,46.95,1.0,715.08,23.28517808219178,46.95,1.0,38.794285714285714,
