year,valid_days,missing_weather_values,precipitation_sum_mm,precipitation_mean_mm_day,rx1day_mm,rx5day_mm,wet_days_ge1mm,heavy_precipitation_days,consecutive_wet_days,consecutive_dry_days,temperature_mean_c,tmax_mean_c,tmin_mean_c,annual_or_period_max_tmax_c,hot_days,heatwave_max_days,relative_humidity_mean_percent,dew_point_mean_c,soil_moisture_mean_m3m3,et0_sum_mm
2006,365,0,826.2,2.2635616438356165,53.15,114.05,108,3,9,22,21.109931506849314,26.92917808219178,15.275616438356165,41.025,33,9,61.092465753424655,11.752945205479454,0.2678294520547945,1446.9025000000001
2007,365,0,1005.7500000000001,2.7554794520547947,71.4,134.8,97,10,9,61,20.711712328767124,26.721917808219178,14.838561643835618,43.325,10,7,62.04178082191781,11.974794520547945,0.2534294520547945,1444.105
2008,366,0,988.6,2.7010928961748633,72.55000000000001,110.85000000000001,118,4,10,26,20.443032786885247,26.34699453551912,14.767896174863386,39.1,5,3,63.37909836065574,12.179371584699453,0.2720751366120219,1403.8600000000001
2009,365,0,707.0,1.936986301369863,51.25,67.24999999999999,90,2,6,35,20.79294520547945,26.956438356164384,14.638493150684932,42.725,20,8,58.67602739726028,10.97041095890411,0.2527287671232877,1505.275
2010,365,0,882.5,2.4178082191780823,117.5,158.65,94,5,17,68,21.460479452054795,27.546369863013698,15.51109589041096,42.6,30,7,59.18767123287671,11.75260273972603,0.22732465753424658,1495.9775
2011,365,0,878.1,2.4057534246575343,54.2,79.05,118,4,10,22,20.555410958904112,26.501575342465756,14.839794520547947,40.15,24,6,63.48082191780822,12.276986301369863,0.2696842465753425,1412.1325000000002
2012,366,0,861.05,2.3525956284153002,142.9,161.5,105,3,13,34,20.30532786885246,26.208265027322405,14.326980874316938,43.05,41,16,58.45765027322405,10.127459016393441,0.2542909836065574,1488.5075
2013,365,0,1062.6999999999998,2.911506849315068,143.35,283.05,97,6,15,33,20.393424657534243,26.00582191780822,14.798287671232877,41.724999999999994,24,8,64.2404109589041,12.26986301369863,0.2674280821917808,1385.5124999999998
2014,365,0,1117.05,3.0604109589041095,183.2,362.9,89,7,5,54,19.833219178082192,25.459246575342465,14.196780821917807,40.325,23,14,64.70068493150686,11.990205479452055,0.2588705479452055,1368.3474999999999
2015,365,0,1310.55,3.590547945205479,133.35,172.99999999999997,116,7,13,26,19.843082191780823,25.3491095890411,14.444178082191781,39.175,7,3,68.48630136986301,13.017808219178082,0.3084849315068493,1311.2475
2016,366,0,698.95,1.9096994535519127,36.65,104.3,93,3,8,36,21.456898907103827,27.37732240437158,15.582445355191258,40.2,17,7,61.22199453551912,12.537909836065573,0.24593032786885244,1466.1125
2017,365,0,908.1999999999999,2.4882191780821916,41.15,82.7,112,4,31,63,20.88205479452055,26.778698630136986,15.10958904109589,44.25,14,5,62.12397260273973,12.181301369863014,0.2713123287671233,1429.405
2018,365,0,899.9999999999999,2.465753424657534,79.44999999999999,133.79999999999998,89,5,6,24,20.659383561643835,26.692671232876716,14.776232876712328,41.125,19,9,62.06575342465754,11.949520547945205,0.25819794520547945,1458.7125
2019,365,0,914.2,2.5046575342465753,74.19999999999999,119.69999999999997,119,2,10,20,20.11609589041096,25.68109589041096,14.51732876712329,41.3,17,9,64.52397260273973,12.126164383561642,0.2837945205479452,1377.3274999999999
2020,366,0,1258.3000000000002,3.437978142076503,138.95,166.95,122,5,15,68,19.56912568306011,25.17219945355191,14.016598360655736,39.2,10,4,66.05327868852459,12.158538251366119,0.2946564207650273,1348.6774999999998
2021,365,0,754.2,2.0663013698630137,49.650000000000006,106.15,89,4,5,40,20.47876712328767,26.456369863013702,14.680273972602743,42.65,16,6,61.74041095890411,11.717260273972602,0.2593828767123288,1459.6925
2022,365,0,771.4,2.1134246575342464,55.15,93.95,101,2,14,44,21.11472602739726,27.055684931506846,15.226780821917806,41.1,21,14,59.26712328767123,11.326095890410958,0.2493945205479452,1483.01
2023,365,0,794.5,2.1767123287671235,36.4,64.74999999999999,112,1,8,31,20.445342465753424,26.253287671232872,14.787945205479453,40.55,8,6,63.775342465753425,12.46472602739726,0.2590431506849315,1395.7525
2024,366,0,890.2500000000001,2.432377049180328,57.75,110.85,106,3,12,46,20.689139344262298,26.570560109289616,14.87704918032787,41.025,31,10,62.28893442622951,11.988456284153004,0.2503900273224044,1431.4475000000002
2025,365,0,898.75,2.462328767123288,58.150000000000006,95.75,110,3,12,45,21.09164383561644,27.016643835616435,15.349452054794519,43.525,26,11,60.98219178082192,11.877671232876713,0.24411301369863012,1437.9975000000002
