component_id,component_name,radius_m,metric,theil_sen_slope_per_year,slope_low_95,slope_high_95,spearman_rho_year,n_epochs,interpretation
139-001,Khanpur Cave,500,mndwi_median,4.1018923123677575e-05,-0.0016113519668579102,0.0013280987739562988,-0.09999999999999999,5,descriptive_five_epoch_trajectory
139-001,Khanpur Cave,500,ndbi_median,-0.0018233660608530044,-0.008276323974132537,0.002108428813517094,-0.7,5,descriptive_five_epoch_trajectory
139-001,Khanpur Cave,500,landscape_pressure_score,-0.010098039215686276,-0.028235294117647046,0.01470588235294117,-0.7,5,descriptive_five_epoch_trajectory
139-001,Khanpur Cave,500,integrated_exposure_score,-0.002895787944807554,-0.020769789397240355,0.013155410312273052,-0.7999999999999999,5,descriptive_five_epoch_trajectory
139-003,Bhir Mound,500,ndvi_median,0.004888765513896942,-0.0033426284790039062,0.011453717947006226,0.7999999999999999,5,descriptive_five_epoch_trajectory
139-003,Bhir Mound,500,mndwi_median,0.00011740227540334065,-0.002095162868499756,0.003298056125640869,0.0,5,descriptive_five_epoch_trajectory
139-003,Bhir Mound,500,ndbi_median,-0.002610691636800766,-0.0046092037111520765,0.00033434778451919557,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-003,Bhir Mound,500,landscape_pressure_score,-0.011764705882352938,-0.017647058823529405,-0.004705882352941193,-0.9999999999999999,5,descriptive_five_epoch_trajectory
139-003,Bhir Mound,500,integrated_exposure_score,-0.003836238198983294,-0.017240377632534488,0.009037763253449526,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-004,Sirkap (fortified city),500,ndvi_median,0.005664613842964172,-0.0027447760105133055,0.008772748708724975,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-004,Sirkap (fortified city),500,mndwi_median,0.00014850050210952757,-0.002927398681640625,0.0031777381896972655,-0.09999999999999999,5,descriptive_five_epoch_trajectory
139-004,Sirkap (fortified city),500,ndbi_median,-0.0031480166905870043,-0.004755997098982334,0.0011029034852981568,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-004,Sirkap (fortified city),500,landscape_pressure_score,-0.009117647058823519,-0.0335294117647059,0.025882352941176467,-0.7,5,descriptive_five_epoch_trajectory
139-004,Sirkap (fortified city),500,integrated_exposure_score,-0.007949346405228753,-0.013710965867828617,0.022763253449527964,-0.7,5,descriptive_five_epoch_trajectory
139-005,Sirsukh (fortified ruined city),500,ndvi_median,0.0032419395943482717,-0.0013709485530853272,0.012359070777893066,0.7999999999999999,5,descriptive_five_epoch_trajectory
139-005,Sirsukh (fortified ruined city),500,mndwi_median,-0.0003106653690338135,-0.004866600036621094,0.0023676693439483643,-0.3,5,descriptive_five_epoch_trajectory
