component_id,component_name,radius_m,epoch_id,label_year,valid_cells,ndvi_median,ndvi_p10,ndvi_p90,ndbi_median,ndbi_p10,ndbi_p90,mndwi_median,mndwi_p10,mndwi_p90,bsi_median,bsi_p10,bsi_p90,classified_cells,lc_class_1_share,lc_class_2_share,lc_class_3_share,lc_class_4_share,lc_class_5_share,lc_class_6_share,ndvi_pressure,mndwi_pressure,ndbi_pressure,built_share_pressure,bare_share_pressure,surface_cover_pressure,landscape_pressure_score,terrain_susceptibility_score,slope_pressure,wetness_pressure,drainage_proximity_pressure,climate_extreme_score,integrated_exposure_score,local_priority_score
139-006,Dharmarajika stupa and monastery,250,E2004,2004,219,0.39385178685188293,0.2655070126056671,0.47249892354011536,-0.023039691150188446,-0.0940731093287468,0.048968665301799774,-0.44196435809135437,-0.46336787939071655,-0.4027937948703766,0.05855861306190491,-0.01399950496852398,0.1335863471031189,219,0.0,0.0410958904109589,0.6210045662100456,0.0410958904109589,0.2968036529680365,0.0,0.6529411764705882,0.8176470588235294,0.7588235294117647,0.12352941176470589,0.8294117647058824,0.7058823529411764,0.7617647058823529,0.5588235294117647,0.3235294117647059,0.7941176470588235,0.5588235294117647,0.5166666666666666,0.6124183006535947,0.6602941176470588
139-006,Dharmarajika stupa and monastery,250,E2009,2009,219,0.3897852301597595,0.25335392355918884,0.45515426993370056,-0.019850801676511765,-0.09102623164653778,0.042468685656785965,-0.4167212247848511,-0.4520382583141327,-0.3898463547229767,0.055862050503492355,-0.01353551261126995,0.12587830424308777,219,0.0045662100456621,0.0958904109589041,0.639269406392694,0.0136986301369863,0.2465753424657534,0.0,0.6647058823529411,0.34705882352941175,0.7823529411764706,0.27058823529411763,0.9,0.7235294117647059,0.5352941176470588,0.5588235294117647,0.3235294117647059,0.7941176470588235,0.5588235294117647,0.462037037037037,0.5187182280319536,0.5470588235294118
139-006,Dharmarajika stupa and monastery,250,E2014,2014,219,0.43322810530662537,0.2750485837459564,0.6039023399353027,-0.04739423468708992,-0.17207397520542145,0.023168914020061493,-0.43263256549835205,-0.473612517118454,-0.37195706367492676,0.025045713409781456,-0.0962088480591774,0.10565844178199768,219,0.0136986301369863,0.0228310502283105,0.5114155251141552,0.2420091324200913,0.2100456621004566,0.0,0.48823529411764705,0.6882352941176471,0.5352941176470588,0.32941176470588235,0.7941176470588235,0.5117647058823529,0.6,0.5588235294117647,0.3235294117647059,0.7941176470588235,0.5588235294117647,0.4842592592592592,0.5476942628903413,0.5794117647058823
139-006,Dharmarajika stupa and monastery,250,E2019,2019,219,0.4553259313106537,0.3392031490802765,0.5815459489822388,-0.06253275275230408,-0.17377501726150513,0.0071314359083771706,-0.43531906604766846,-0.4702361226081848,-0.3936275243759155,0.017236551269888878,-0.09246457368135452,0.08209741860628128,219,0.0045662100456621,0.0,0.4794520547945205,0.2557077625570776,0.2602739726027397,0.0,0.3588235294117647,0.7470588235294118,0.4176470588235294,0.27058823529411763,0.3235294117647059,0.38823529411764707,0.5676470588235294,0.5588235294117647,0.3235294117647059,0.7941176470588235,0.5588235294117647,0.3138888888888889,0.480119825708061,0.5632352941176471
139-006,Dharmarajika stupa and monastery,250,E2024,2024,219,0.4673420190811157,0.3112705647945404,0.6280909776687622,-0.08109711110591888,-0.21565578877925873,0.023569321259856224,-0.43120887875556946,-0.46243733167648315,-0.3940812647342682,-0.0004778332950081676,-0.134389266371727,0.09884607046842575,219,0.0,0.0273972602739726,0.5251141552511416,0.2694063926940639,0.1780821917808219,0.0,0.3,0.6529411764705882,0.3235294117647059,0.12352941176470589,0.8058823529411765,0.31176470588235294,0.4823529411764706,0.5588235294117647,0.3235294117647059,0.7941176470588235,0.5588235294117647,0.5259259259259259,0.5223674655047205,0.5205882352941177
139-007,Khader Mohra (Akhuri),250,E2004,2004,220,0.3778929114341736,0.3129756450653076,0.5175348520278931,-0.035524506121873856,-0.19647231698036194,0.051532261073589325,-0.4068632125854492,-0.46566280722618103,-0.3153740465641022,0.04280804470181465,-0.1067543476819992,0.11841025948524475,220,0.12272727272727273,0.0,0.3,0.15,0.42727272727272725,0.0,0.8058823529411765,0.21764705882352942,0.6529411764705882,0.7,0.3235294117647059,0.7294117647058824,0.4735294117647059,0.6372549019607843,0.9705882352941176,0.08823529411764706,0.8529411764705882,0.5166666666666666,0.5424836601307189,0.5553921568627451
139-007,Khader Mohra (Akhuri),250,E2009,2009,220,0.38227182626724243,0.29553842544555664,0.5513758063316345,-0.038440898060798645,-0.20795458555221558,0.06969209760427475,-0.4043898582458496,-0.4578762948513031,-0.34044724702835083,0.03468244522809982,-0.12643998861312866,0.13192467391490936,220,0.1590909090909091,0.0,0.36818181818181817,0.19090909090909092,0.2818181818181818,0.0,0.7235294117647059,0.14705882352941177,0.6294117647058823,0.7705882352941177,0.3235294117647059,0.6764705882352942,0.411764705882353,0.6372549019607843,0.9705882352941176,0.08823529411764706,0.8529411764705882,0.462037037037037,0.5036855482933914,0.5245098039215687
139-007,Khader Mohra (Akhuri),250,E2014,2014,220,0.3785058259963989,0.309337317943573,0.6880178451538086,-0.03488820046186447,-0.3470483720302582,0.06045606732368469,-0.40639176964759827,-0.4454796016216278,-0.30645665526390076,0.04515543952584267,-0.26450085639953613,0.1195940300822258,220,0.1,0.0,0.2318181818181818,0.25,0.41818181818181815,0.0,0.7941176470588235,0.20588235294117646,0.6764705882352942,0.6176470588235294,0.3235294117647059,0.7352941176470589,0.47058823529411764,0.6372549019607843,0.9705882352941176,0.08823529411764706,0.8529411764705882,0.4842592592592592,0.5307007988380538,0.553921568627451
139-007,Khader Mohra (Akhuri),250,E2019,2019,220,0.3995441794395447,0.3081773817539215,0.6924439072608948,-0.05562802404165268,-0.34549781680107117,0.046517450362443924,-0.39106565713882446,-0.43592363595962524,-0.3003770112991333,0.027424229308962822,-0.26144662499427795,0.10917466878890991,220,0.11363636363636363,0.004545454545454545,0.20909090909090908,0.29545454545454547,0.37727272727272726,0.0,0.6176470588235294,0.03529411764705882,0.4764705882352941,0.6647058823529411,0.6647058823529411,0.5470588235294118,0.2911764705882353,0.6372549019607843,0.9705882352941176,0.08823529411764706,0.8529411764705882,0.3138888888888889,0.4141067538126362,0.4642156862745098
139-007,Khader Mohra (Akhuri),250,E2024,2024,220,0.5365327596664429,0.42388537526130676,0.7560530304908752,-0.1381262242794037,-0.35837703943252563,-0.027095019817352295,-0.42314931750297546,-0.46449849009513855,-0.3736751675605774,-0.051718808710575104,-0.2876937687397003,0.046481285244226456,220,0.01818181818181818,0.0,0.15,0.5363636363636364,0.29545454545454547,0.0,0.14705882352941177,0.5117647058823529,0.13529411764705881,0.38823529411764707,0.3235294117647059,0.1411764705882353,0.32647058823529407,0.6372549019607843,0.9705882352941176,0.08823529411764706,0.8529411764705882,0.5259259259259259,0.4965504720406681,0.48186274509803917
