component_id,component_name,radius_m,epoch_id,label_year,valid_cells,ndvi_median,ndvi_p10,ndvi_p90,ndbi_median,ndbi_p10,ndbi_p90,mndwi_median,mndwi_p10,mndwi_p90,bsi_median,bsi_p10,bsi_p90,classified_cells,lc_class_1_share,lc_class_2_share,lc_class_3_share,lc_class_4_share,lc_class_5_share,lc_class_6_share,ndvi_pressure,ndbi_pressure,mndwi_pressure,surface_cover_pressure,landscape_pressure_score,terrain_susceptibility_score,slope_pressure,wetness_pressure,drainage_proximity_pressure,local_priority_score,fixed_rank
139-016,Lalchak mounds,250,E2014,2014,217,0.592842161655426,0.4823079705238342,0.7064841985702515,-0.1796871721744537,-0.2950366139411926,-0.0844857692718505,-0.433415949344635,-0.4599659442901611,-0.4080389142036438,-0.0939345359802246,-0.212214857339859,-0.0050976108759641,217,0.0046082949308755,0.0,0.0967741935483871,0.7972350230414746,0.1013824884792626,0.0,0.06470588235294118,0.041176470588235294,0.711764705882353,0.05294117647058824,0.3823529411764706,0.3725490196078431,0.14705882352941177,0.9411764705882353,0.029411764705882353,0.37745098039215685,
139-016,Lalchak mounds,250,E2019,2019,217,0.5444275140762329,0.4473242461681366,0.6170573234558105,-0.1626759618520736,-0.2378384172916412,-0.046513631939888,-0.4179815053939819,-0.4436750113964081,-0.3914332985877991,-0.0742089301347732,-0.1408406198024749,0.0296015739440917,217,0.0,0.0,0.336405529953917,0.6267281105990783,0.0368663594470046,0.0,0.11176470588235295,0.07647058823529412,0.37058823529411766,0.09411764705882353,0.2323529411764706,0.3725490196078431,0.14705882352941177,0.9411764705882353,0.029411764705882353,0.30245098039215684,
139-016,Lalchak mounds,250,E2024,2024,217,0.5045789480209351,0.4083796441555023,0.5913928747177124,-0.1126933321356773,-0.1822124719619751,-0.0379349589347839,-0.4397760331630707,-0.4616751372814178,-0.4191948771476745,-0.0303761381655931,-0.0975708961486816,0.0370325110852718,217,0.0,0.0,0.4101382488479262,0.3502304147465437,0.2396313364055299,0.0,0.22941176470588234,0.21764705882352942,0.7823529411764706,0.22352941176470587,0.5029411764705882,0.3725490196078431,0.14705882352941177,0.9411764705882353,0.029411764705882353,0.4377450980392157,13.0
139-017,Buddhist remains around Bhallar stupa,250,E2004,2004,219,0.3759267330169678,0.3120039701461792,0.4514613449573517,-0.0300975013524293,-0.1264521330595016,0.0283681638538837,-0.4058509171009063,-0.4404985308647156,-0.3560001254081726,0.0453327894210815,-0.0387872867286205,0.1010248586535453,219,0.1598173515981735,0.0136986301369863,0.6301369863013698,0.0639269406392694,0.1324200913242009,0.0,0.8294117647058824,0.7,0.19411764705882353,0.7647058823529411,0.4794117647058823,0.5980392156862745,0.5588235294117647,0.5588235294117647,0.6764705882352942,0.5387254901960784,
139-017,Buddhist remains around Bhallar stupa,250,E2009,2009,219,0.3659337162971496,0.3074764013290405,0.4408604204654693,-0.0210114363580942,-0.1137493550777435,0.0323092527687549,-0.4025591611862182,-0.4467388689517975,-0.3581240773200989,0.0526982732117176,-0.0345377177000045,0.1017204523086547,219,0.2420091324200913,0.0,0.6210045662100456,0.0182648401826484,0.1187214611872146,0.0,0.8647058823529412,0.7705882352941177,0.12352941176470589,0.8176470588235294,0.47058823529411764,0.5980392156862745,0.5588235294117647,0.5588235294117647,0.6764705882352942,0.5343137254901961,
139-017,Buddhist remains around Bhallar stupa,250,E2014,2014,213,0.4095076322555542,0.2955320477485657,0.535047173500061,-0.0469767488539218,-0.1383011490106582,0.0224446710199117,-0.4127469956874847,-0.4650256335735321,-0.367680013179779,0.0300276074558496,-0.0518015138804912,0.0951051041483879,213,0.1690140845070422,0.0046948356807511,0.3990610328638497,0.1314553990610328,0.2957746478873239,0.0,0.5352941176470588,0.5588235294117647,0.3,0.5470588235294118,0.42352941176470593,0.5980392156862745,0.5588235294117647,0.5588235294117647,0.6764705882352942,0.5107843137254902,
139-017,Buddhist remains around Bhallar stupa,250,E2019,2019,219,0.4335514008998871,0.3067276179790497,0.5435551404953003,-0.0637969374656677,-0.1678145974874496,0.0036139336880296,-0.4036156237125397,-0.4633745849132538,-0.3425532579421997,0.0167505592107772,-0.0777247995138168,0.07951021194458,219,0.2146118721461187,0.0045662100456621,0.2876712328767123,0.1552511415525114,0.3378995433789954,0.0,0.4764705882352941,0.3941176470588235,0.13529411764705881,0.43529411764705883,0.2852941176470588,0.5980392156862745,0.5588235294117647,0.5588235294117647,0.6764705882352942,0.44166666666666665,
139-017,Buddhist remains around Bhallar stupa,250,E2024,2024,219,0.4439898729324341,0.2717936336994171,0.575602114200592,-0.072886511683464,-0.1758766025304794,0.036343440413475,-0.4166037738323211,-0.4706212282180786,-0.361356258392334,0.0111880404874682,-0.0930197015404701,0.1025311723351478,219,0.2009132420091324,0.0,0.3242009132420091,0.2785388127853881,0.1963470319634703,0.0,0.40588235294117647,0.3588235294117647,0.3352941176470588,0.38235294117647056,0.35882352941176465,0.5980392156862745,0.5588235294117647,0.5588235294117647,0.6764705882352942,0.4784313725490196,9.0
139-018,Giri Mosque and tombs,250,E2004,2004,219,0.5384989380836487,0.4456789195537567,0.6274721622467041,-0.1237630844116211,-0.2511668503284454,-0.0241522993892431,-0.4416521489620209,-0.4755762219429016,-0.3777193129062652,-0.0478168167173862,-0.1628101170063018,0.0458783656358718,219,0.0,0.0,0.0958904109589041,0.5753424657534246,0.3287671232876712,0.0,0.13529411764705881,0.17058823529411765,0.8058823529411765,0.15294117647058825,0.47941176470588237,0.7352941176470588,0.8529411764705882,0.4411764705882353,0.9117647058823529,0.6073529411764705,
139-018,Giri Mosque and tombs,250,E2009,2009,219,0.5026785731315613,0.4126760959625244,0.5969694256782532,-0.0964112281799316,-0.2208873182535171,0.0064776414074003,-0.4488468468189239,-0.4835577011108398,-0.3854258060455322,-0.028005352243781,-0.1440222412347793,0.0675962790846824,219,0.0,0.0,0.1506849315068493,0.4611872146118721,0.3881278538812785,0.0,0.2411764705882353,0.27647058823529413,0.8529411764705882,0.25882352941176473,0.5558823529411765,0.7352941176470588,0.8529411764705882,0.4411764705882353,0.9117647058823529,0.6455882352941176,
