component_id,component_name,radius_m,terrain_model,landscape_weight,terrain_weight,score,rank,top3,top5
139-015,Jaulian stupa and monastery,250,reduced_slope_drainage,0.75,0.25,0.4389705882352941,11,False,False
139-016,Lalchak mounds,250,reduced_slope_drainage,0.75,0.25,0.3992647058823529,14,False,False
139-017,Buddhist remains around Bhallar stupa,250,reduced_slope_drainage,0.75,0.25,0.4235294117647058,12,False,False
139-018,Giri Mosque and tombs,250,reduced_slope_drainage,0.75,0.25,0.6022058823529411,1,True,True
139-001,Khanpur Cave,500,equal_factors,0.25,0.75,0.4360294117647059,12,False,False
139-003,Bhir Mound,500,equal_factors,0.25,0.75,0.3610294117647059,16,False,False
139-004,Sirkap (fortified city),500,equal_factors,0.25,0.75,0.42132352941176465,13,False,False
139-005,Sirsukh (fortified ruined city),500,equal_factors,0.25,0.75,0.4713235294117647,11,False,False
139-006,Dharmarajika stupa and monastery,500,equal_factors,0.25,0.75,0.5279411764705884,7,False,False
139-007,Khader Mohra (Akhuri),500,equal_factors,0.25,0.75,0.5470588235294117,6,False,False
139-008,Kalawan group of buildings,500,equal_factors,0.25,0.75,0.49485294117647055,9,False,False
139-009,Giri complex of monuments,500,equal_factors,0.25,0.75,0.6338235294117647,1,True,True
139-010,Kunala stupa and monastery,500,equal_factors,0.25,0.75,0.4808823529411764,10,False,False
139-011,Jandial complex,500,equal_factors,0.25,0.75,0.3948529411764706,14,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,500,equal_factors,0.25,0.75,0.3529411764705882,17,False,False
139-013,Mohra Moradu stupa and monastery,500,equal_factors,0.25,0.75,0.5588235294117647,5,False,True
139-014,Pippala stupa and monastery,500,equal_factors,0.25,0.75,0.5249999999999999,8,False,False
139-015,Jaulian stupa and monastery,500,equal_factors,0.25,0.75,0.5926470588235294,4,False,True
139-016,Lalchak mounds,500,equal_factors,0.25,0.75,0.3897058823529412,15,False,False
139-017,Buddhist remains around Bhallar stupa,500,equal_factors,0.25,0.75,0.6066176470588235,3,True,True
139-018,Giri Mosque and tombs,500,equal_factors,0.25,0.75,0.6147058823529412,2,True,True
139-001,Khanpur Cave,500,equal_factors,0.5,0.5,0.4308823529411765,14,False,False
139-003,Bhir Mound,500,equal_factors,0.5,0.5,0.3397058823529412,17,False,False
139-004,Sirkap (fortified city),500,equal_factors,0.5,0.5,0.4799019607843137,12,False,False
139-005,Sirsukh (fortified ruined city),500,equal_factors,0.5,0.5,0.5014705882352941,9,False,False
139-006,Dharmarajika stupa and monastery,500,equal_factors,0.5,0.5,0.5362745098039217,5,False,True
139-007,Khader Mohra (Akhuri),500,equal_factors,0.5,0.5,0.5352941176470587,6,False,False
139-008,Kalawan group of buildings,500,equal_factors,0.5,0.5,0.5191176470588235,7,False,False
139-009,Giri complex of monuments,500,equal_factors,0.5,0.5,0.5911764705882352,1,True,True
139-010,Kunala stupa and monastery,500,equal_factors,0.5,0.5,0.5009803921568627,10,False,False
139-011,Jandial complex,500,equal_factors,0.5,0.5,0.34852941176470587,16,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,500,equal_factors,0.5,0.5,0.39215686274509803,15,False,False
139-013,Mohra Moradu stupa and monastery,500,equal_factors,0.5,0.5,0.5392156862745099,4,False,True
139-014,Pippala stupa and monastery,500,equal_factors,0.5,0.5,0.5009803921568627,11,False,False
139-015,Jaulian stupa and monastery,500,equal_factors,0.5,0.5,0.5676470588235294,3,True,True
139-016,Lalchak mounds,500,equal_factors,0.5,0.5,0.446078431372549,13,False,False
139-017,Buddhist remains around Bhallar stupa,500,equal_factors,0.5,0.5,0.517156862745098,8,False,False
139-018,Giri Mosque and tombs,500,equal_factors,0.5,0.5,0.5725490196078431,2,True,True
139-001,Khanpur Cave,500,equal_factors,0.75,0.25,0.42573529411764705,15,False,False
139-003,Bhir Mound,500,equal_factors,0.75,0.25,0.3183823529411765,16,False,False
139-004,Sirkap (fortified city),500,equal_factors,0.75,0.25,0.5384803921568627,5,False,True
139-005,Sirsukh (fortified ruined city),500,equal_factors,0.75,0.25,0.5316176470588235,6,False,False
139-006,Dharmarajika stupa and monastery,500,equal_factors,0.75,0.25,0.544607843137255,2,True,True
139-007,Khader Mohra (Akhuri),500,equal_factors,0.75,0.25,0.5235294117647058,8,False,False
139-008,Kalawan group of buildings,500,equal_factors,0.75,0.25,0.5433823529411764,3,True,True
139-009,Giri complex of monuments,500,equal_factors,0.75,0.25,0.5485294117647058,1,True,True
139-010,Kunala stupa and monastery,500,equal_factors,0.75,0.25,0.5210784313725491,9,False,False
139-011,Jandial complex,500,equal_factors,0.75,0.25,0.30220588235294116,17,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,500,equal_factors,0.75,0.25,0.4313725490196078,13,False,False
139-013,Mohra Moradu stupa and monastery,500,equal_factors,0.75,0.25,0.5196078431372549,10,False,False
139-014,Pippala stupa and monastery,500,equal_factors,0.75,0.25,0.47696078431372546,12,False,False
139-015,Jaulian stupa and monastery,500,equal_factors,0.75,0.25,0.5426470588235295,4,False,True
139-016,Lalchak mounds,500,equal_factors,0.75,0.25,0.5024509803921569,11,False,False
139-017,Buddhist remains around Bhallar stupa,500,equal_factors,0.75,0.25,0.4276960784313725,14,False,False
139-018,Giri Mosque and tombs,500,equal_factors,0.75,0.25,0.5303921568627451,7,False,False
139-001,Khanpur Cave,500,correlation_adjusted,0.25,0.75,0.4335499385440754,12,False,False
139-003,Bhir Mound,500,correlation_adjusted,0.25,0.75,0.36090894550091107,16,False,False
139-004,Sirkap (fortified city),500,correlation_adjusted,0.25,0.75,0.4207766744445336,13,False,False
139-005,Sirsukh (fortified ruined city),500,correlation_adjusted,0.25,0.75,0.4736825363686003,11,False,False
139-006,Dharmarajika stupa and monastery,500,correlation_adjusted,0.25,0.75,0.5298274306800259,7,False,False
139-007,Khader Mohra (Akhuri),500,correlation_adjusted,0.25,0.75,0.5450798412320507,6,False,False
139-008,Kalawan group of buildings,500,correlation_adjusted,0.25,0.75,0.49539286159973384,9,False,False
