component_id,component_name,radius_m,indicator,delta_native,delta_oli_like,same_direction,absolute_delta_difference
139-009,Giri complex of monuments,1000,NDBI,-0.03764067590236664,-0.047777190804481506,True,0.010136514902114868
139-009,Giri complex of monuments,1000,MNDWI,-0.0678064227104187,-0.03283703327178955,True,0.03496938943862915
139-010,Kunala stupa and monastery,250,NDVI,0.1471429169178009,0.11244043707847595,True,0.03470247983932495
139-010,Kunala stupa and monastery,250,NDBI,-0.10252466052770615,-0.08628028258681297,True,0.016244377940893173
139-010,Kunala stupa and monastery,250,MNDWI,-0.03374418616294861,-0.004931151866912842,True,0.028813034296035767
139-010,Kunala stupa and monastery,500,NDVI,0.13824458420276642,0.10556744039058685,True,0.032677143812179565
139-010,Kunala stupa and monastery,500,NDBI,-0.08241862617433071,-0.06902038305997849,True,0.013398243114352226
139-010,Kunala stupa and monastery,500,MNDWI,-0.029758930206298828,-0.0012038201093673706,True,0.028555110096931458
139-010,Kunala stupa and monastery,1000,NDVI,0.12292870879173279,0.09093329310417175,True,0.031995415687561035
139-010,Kunala stupa and monastery,1000,NDBI,-0.07795771863311529,-0.06473495624959469,True,0.013222762383520603
139-010,Kunala stupa and monastery,1000,MNDWI,-0.024656638503074646,0.004555925726890564,False,0.02921256422996521
139-011,Jandial complex,250,NDVI,0.10129481554031372,0.070587158203125,True,0.03070765733718872
139-011,Jandial complex,250,NDBI,-0.0720358481630683,-0.05933162313885987,True,0.012704225024208426
139-011,Jandial complex,250,MNDWI,-0.0013324916362762451,0.028160154819488525,False,0.02949264645576477
139-011,Jandial complex,500,NDVI,0.06922109425067902,0.038722604513168335,True,0.03049848973751068
139-011,Jandial complex,500,NDBI,-0.04467943673080299,-0.03300200682133436,True,0.011677429909468628
139-011,Jandial complex,500,MNDWI,-0.0046335309743881226,0.02534407377243042,False,0.029977604746818542
139-011,Jandial complex,1000,NDVI,0.08393895626068115,0.05471670627593994,True,0.02922224998474121
139-011,Jandial complex,1000,NDBI,-0.043612293899059296,-0.03442414477467537,True,0.009188149124383926
139-011,Jandial complex,1000,MNDWI,-0.024220257997512817,0.006519436836242676,False,0.030739694833755493
139-012,Lalchak and Badalpur Buddhist stuppa,250,NDVI,0.11369909346103668,0.0919644683599472,True,0.021734625101089478
139-012,Lalchak and Badalpur Buddhist stuppa,250,NDBI,-0.07463538646697998,-0.07349853590130806,True,0.0011368505656719208
139-012,Lalchak and Badalpur Buddhist stuppa,250,MNDWI,-0.03557661175727844,-0.004703238606452942,True,0.0308733731508255
139-012,Lalchak and Badalpur Buddhist stuppa,500,NDVI,0.12728382647037506,0.10626009106636047,True,0.021023735404014587
139-012,Lalchak and Badalpur Buddhist stuppa,500,NDBI,-0.07036307826638222,-0.07112972810864449,True,0.0007666498422622681
139-012,Lalchak and Badalpur Buddhist stuppa,500,MNDWI,-0.04952937364578247,-0.017681509256362915,True,0.031847864389419556
139-012,Lalchak and Badalpur Buddhist stuppa,1000,NDVI,0.1215285211801529,0.09926988184452057,True,0.022258639335632324
139-012,Lalchak and Badalpur Buddhist stuppa,1000,NDBI,-0.06075947359204292,-0.06170091778039932,True,0.0009414441883563995
139-012,Lalchak and Badalpur Buddhist stuppa,1000,MNDWI,-0.052959784865379333,-0.020532891154289246,True,0.03242689371109009
139-013,Mohra Moradu stupa and monastery,250,NDVI,0.20777595043182373,0.163225457072258,True,0.044550493359565735
139-013,Mohra Moradu stupa and monastery,250,NDBI,-0.12175513338297606,-0.10989351198077202,True,0.011861621402204037
139-013,Mohra Moradu stupa and monastery,250,MNDWI,-0.05322818458080292,-0.01742413640022278,True,0.03580404818058014
139-013,Mohra Moradu stupa and monastery,500,NDVI,0.16938400268554688,0.12691929936408997,True,0.04246470332145691
139-013,Mohra Moradu stupa and monastery,500,NDBI,-0.08738351240754128,-0.07331379875540733,True,0.014069713652133942
139-013,Mohra Moradu stupa and monastery,500,MNDWI,-0.05092456936836243,-0.017863541841506958,True,0.03306102752685547
139-013,Mohra Moradu stupa and monastery,1000,NDVI,0.1464192271232605,0.1142108142375946,True,0.032208412885665894
139-013,Mohra Moradu stupa and monastery,1000,NDBI,-0.0880698673427105,-0.07795242592692375,True,0.010117441415786743
139-013,Mohra Moradu stupa and monastery,1000,MNDWI,-0.0360998809337616,-0.0066772401332855225,True,0.029422640800476074
139-014,Pippala stupa and monastery,250,NDVI,0.04620164632797241,0.021135330200195312,True,0.0250663161277771
139-014,Pippala stupa and monastery,250,NDBI,-0.023799611255526543,-0.016017932444810867,True,0.007781678810715675
139-014,Pippala stupa and monastery,250,MNDWI,-0.018220126628875732,0.01236291229724884,False,0.030583038926124573
139-014,Pippala stupa and monastery,500,NDVI,0.08020824193954468,0.04678049683570862,True,0.03342774510383606
139-014,Pippala stupa and monastery,500,NDBI,-0.04041610471904278,-0.02758788038045168,True,0.012828224338591099
139-014,Pippala stupa and monastery,500,MNDWI,-0.016465410590171814,0.012192860245704651,False,0.028658270835876465
139-014,Pippala stupa and monastery,1000,NDVI,0.13876155018806458,0.10591879487037659,True,0.03284275531768799
139-014,Pippala stupa and monastery,1000,NDBI,-0.07307223789393902,-0.06215527281165123,True,0.010916965082287788
139-014,Pippala stupa and monastery,1000,MNDWI,-0.03348720073699951,-0.0035199224948883057,True,0.029967278242111206
139-015,Jaulian stupa and monastery,250,NDVI,0.28342367708683014,0.24239522218704224,True,0.0410284548997879
139-015,Jaulian stupa and monastery,250,NDBI,-0.195524298469536,-0.1807592469267547,True,0.014765051542781293
139-015,Jaulian stupa and monastery,250,MNDWI,-0.05078341066837311,-0.01907026767730713,True,0.03171314299106598
139-015,Jaulian stupa and monastery,500,NDVI,0.23704829812049866,0.20057906210422516,True,0.0364692360162735
139-015,Jaulian stupa and monastery,500,NDBI,-0.14275553787592798,-0.12824092945083976,True,0.014514608425088227
139-015,Jaulian stupa and monastery,500,MNDWI,-0.04971477389335632,-0.019462034106254578,True,0.030252739787101746
139-015,Jaulian stupa and monastery,1000,NDVI,0.18710771203041077,0.15386167168617249,True,0.03324604034423828
139-015,Jaulian stupa and monastery,1000,NDBI,-0.10121573880314827,-0.09008394926786423,True,0.011131789535284042
139-015,Jaulian stupa and monastery,1000,MNDWI,-0.04569453001022339,-0.015474379062652588,True,0.0302201509475708
139-016,Lalchak mounds,250,NDVI,0.08234569430351257,0.05531442165374756,True,0.027031272649765015
139-016,Lalchak mounds,250,NDBI,-0.035761646926403046,-0.03312288969755173,True,0.0026387572288513184
139-016,Lalchak mounds,250,MNDWI,-0.04760020971298218,-0.016638755798339844,True,0.030961453914642334
139-016,Lalchak mounds,500,NDVI,0.10179513692855835,0.07679107785224915,True,0.025004059076309204
